name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible,price_range,category_1,category_2,category_3
Locale Boston,"352 Hanover St, Boston, MA 02113-1911",(148),93,31,8,3,0,$$ - $$$,Italian,Pizza,Vegetarian Friendly
"Neptune Oyster, Boston","63 Salem St Ste 1, Boston, MA 02113-2273","(1,977)","1,232",368,120,51,65,$$ - $$$,American,Seafood,Gluten Free Options
"Bleacher Bar, Boston","82A Lansdowne St, Boston, MA 02215-3411",(440),223,153,29,8,9,$$ - $$$,American,Bar,Pub
"Giacomo, Boston","355 Hanover St, Boston, MA 02113-1910","(1,556)",927,310,123,52,38,$$ - $$$,Italian,Seafood,Vegetarian Friendly
"Ruka Restobar, Boston","505 Washington St The Godfrey Hotel, Boston, MA 02111-1211",(248),131,54,22,8,4,$$$$,Japanese,Peruvian,Seafood
Boston Burger Company,"1100 Boylston St, Boston, MA 02215-3601",(464),225,124,44,10,7,$$ - $$$,American,Bar,Vegetarian Friendly
"Brewer's Fork, Boston","7 Moulton St, Boston, MA 02129-3115",(174),106,51,8,1,2,$$ - $$$,American,Bar,Pizza
"The Warren Tavern, Boston","2 Pleasant St, Boston, MA 02129-3602",(661),324,232,56,10,6,$$ - $$$,American,Vegetarian Friendly,Gluten Free Options
"Abe & Louie's, Boston","793 Boylston St, Boston, MA 02116","(1,866)","1,019",405,162,77,32,$$$$,Steakhouse,Seafood,Vegetarian Friendly
"Grill 23 & Bar, Boston","161 Berkeley St, Boston, MA 02116-5108","(1,228)",619,310,120,42,29,$$$$,American,Steakhouse,Gluten Free Options
"La Voile, Boston","261 Newbury St, Boston, MA 02116-2402",(659),371,152,52,17,3,$$$$,French,European,Vegetarian Friendly
"Coppa, Boston","253 Shawmut Ave, Boston, MA 02118-2178",(365),220,92,23,11,4,$$ - $$$,Italian,Pizza,Contemporary
Toro Boston,"1704 Washington St, Boston, MA 02118-3307",(613),375,133,41,16,17,$$ - $$$,Spanish,Vegetarian Friendly,Vegan Options
"Ocean Prime, Boston","140 Seaport Blvd, Boston, MA 02210-2045",(491),289,113,33,13,6,$$$$,American,Steakhouse,Seafood
"Parish Cafe, Boston","361 Boylston St, Boston, MA 02116-3303",(917),445,289,75,15,17,$$ - $$$,American,Bar,Cafe
"Menton, Boston","354 Congress St, Boston, MA 02210-1295",(452),312,53,41,14,7,$$$$,French,Vegetarian Friendly,Vegan Options
"Picco Restaurant, Boston","513 Tremont St, Boston, MA 02116-6306",(320),174,91,21,4,4,$$ - $$$,Italian,Pizza,Vegetarian Friendly
"Dino's Cafe, Boston","141 Salem St, Boston, MA 02113-1728",(181),125,40,5,1,3,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Prezza, Boston","24 Fleet St, Boston, MA 02113",(384),236,81,41,10,4,$$$$,Italian,Vegetarian Friendly,Vegan Options
