name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible
"Viga, Boston","133 Pearl St, Boston, MA 02110-2499",(8),3,4,0,0,0
"Rizzo's Pizza, Boston","347 Centre St, Boston, MA 02130-1239",(5),3,2,0,0,0
"Primo's Restaurant, Boston","28 Myrtle St, Boston, MA 02114-4501",(7),0,5,1,1,0
"Pat's Of Lower Mills, Boston","2254 Dorchester Ave, Boston, MA 02124-5620",(17),11,4,1,0,1
"Stash's Pizza, Boston","612 Blue Hill Ave Dorchester, Boston, MA 02121-3212",(4),1,1,1,1,0
"Rock City Pizza, Boston","568 Cambridge St Allston, Boston, MA 02134-2432",(7),3,1,2,0,0
"Nino's Pizza, Boston","79 Charles St, Boston, MA 02114-4632",(23),5,11,4,0,2
"Same Old Place, Boston","662 Centre St, Boston, MA 02130-2507",(23),3,8,5,3,3
"Papa Gino's, Boston","748 Gallivan Boulevard, Boston, MA 02122",(6),1,1,1,0,0
"Cappy's Pizza & Subs, Boston","82 Westland Ave, Boston, MA 02115-3811",(12),7,3,1,1,0
"Tarboosh, Boston","2 Brighton Ave, Boston, MA 02134-2310",(9),8,0,0,0,0
"Crazy Dough's Pizza, Boston","2201 Commonwealth Ave Brighton, Boston, MA 02135-3853",(16),7,4,2,3,0
"Crazy Dough's Pizza, Boston","100 Legends Way, Boston, MA 02114-1300",(22),4,7,6,2,2
"Christos Pizza, Boston","1761 Centre St, Boston, MA 02132-1535",(8),4,2,1,1,0
"The Proper Slice, Boston","547 Washington St, Boston, MA 02111-1718",(12),7,4,0,1,0
"Domino's Pizza, Boston","64 Staniford St, Boston, MA 02114-2525",(6),3,0,0,0,2
"Pizza Shuttle, Boston","239 Meridian St, Boston, MA 02128-1624",(5),1,2,1,0,0
"DaCoopa's Pizza, Boston","474 Saratoga St, Boston, MA 02128-1439",(10),5,3,1,0,0
"The Real Deal, Boston","736 Centre St Jamaica Plain, Boston, MA 02130-2518",(49),19,24,3,1,2
"Jenny's Pizza, Boston","320 Medford St, Boston, MA 02129-1950",(9),3,3,1,0,2
"Domino's Pizza, Boston","450 Cambridge St, Boston, MA 02134-2030",(6),2,0,0,0,2
"Rome Pizza & Grill, Boston","416 Tremont St, Boston, MA 02116-6309",(17),6,5,3,0,0
"Captain Nemo's, Boston","367 Centre St, Boston, MA 02130-1241",(2),0,1,1,0,0
"La Befana Pizzeria, Boston","15 N Beacon St Ste 12, Boston, MA 02134-1936",(12),3,1,1,0,4
"Nicole's Pizza, Boston","639 Tremont St, Boston, MA 02118-1261",(13),4,3,0,2,3
"Riddick's House of Pizza, Boston","400 Neponset Ave, Boston, MA 02122-3134",(1),0,0,1,0,0
"University Grill & Pizza, Boston","712 Commonwealth Ave Ste 2, Boston, MA 02215-2414",(11),4,5,1,1,0
Boston Pizza Express,"1026 Commonwealth Ave, Boston, MA 02215-1103",(1),1,0,0,0,0
"Kelley Square Pub, Boston","84 Bennington St, Boston, MA 02128-1710",(12),7,2,1,1,0
"The Upper Crust Pizzeria, Boston","245 Summer St, Boston, MA 02210-1133",(1),0,0,1,0,0
"Supreme Pizza, Boston","177 Massachusetts Ave., Boston, MA 02115",(19),5,5,3,0,3
"Nick's House of Pizza, Boston","467 W Broadway, Boston, MA 02127-2218",(2),1,0,1,0,0
"Rabottini’s Pizza, Boston","182 Western Ave, Boston, MA 02134-1031",(1),0,0,1,0,0
"Alex Pizza & Grill, Boston","1252 Washington St, Boston, MA 02118-2109",(1),0,0,1,0,0
"Checkmate Cafe, Boston","900 South St, Boston, MA 02131-2407",(3),0,2,1,0,0
"Andalus Pizza & Cafe, Boston","153 Sutherland Rd, Boston, MA 02135-7301",(9),2,3,0,2,0
"DeNo's Pizza and Subs, Boston","2040 Centre St, Boston, MA 02132-3326",(8),1,3,2,0,2
"West End Pizza, Boston","252 Friend St, Boston, MA 02114-1801",(3),0,3,0,0,0
"Mattapan House of Pizza, Boston","1631 Blue Hill Ave, Boston, MA 02126-2107",(1),1,0,0,0,0
"Comellas, Boston","1844 Centre St, Boston, MA 02132-1901",(18),11,3,1,3,0
"College Pizza, Boston","50 Queensberry St, Boston, MA 02215-5101",(18),11,1,2,0,4
"Mister McGoo's Pizza & Subs, Boston","479 W Broadway, Boston, MA 02127-2267",(6),2,2,2,0,0
"Zesto's Pizza & Grille, Boston","460 Centre St, Boston, MA 02130-2056",(6),5,1,0,0,0
"Inbound Pizza, Boston","1232 Commonwealth Ave, Boston, MA 02134-4229",(16),5,3,3,2,2
"Pizza Pie-er, Boston","182 Massachusetts Ave, Boston, MA 02115-3011",(6),4,1,0,1,0
"Joseph's Sub Shop & Pizza, Boston","8 S Huntington Ave, Boston, MA 02130-4701",(3),1,1,1,0,0
"Pizza Hut, Boston","950 Hyde Park Ave, Boston, MA 02136",(3),0,2,1,0,0
Boston House of Pizza,"305 Huntington Ave, Boston, MA 02115-4401",(6),1,3,1,1,0
